----------------------------------------------------------------------------------------------------------------------------------------------------
| s                                | p                                       | o                                                                   |
====================================================================================================================================================
| <http://wikiba.se/ontology#Dump> | <http://creativecommons.org/ns#license> | <http://creativecommons.org/publicdomain/zero/1.0/>                 |
| <http://wikiba.se/ontology#Dump> | <http://schema.org/softwareVersion>     | "1.0.0"                                                             |
| <http://wikiba.se/ontology#Dump> | <http://schema.org/dateModified>        | "2021-09-24T23:00:01Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> |
| <http://wikiba.se/ontology#Dump> | <http://schema.org/dateModified>        | "2021-09-24T23:00:04Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> |
| <http://wikiba.se/ontology#Dump> | <http://schema.org/dateModified>        | "2021-09-24T23:00:08Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> |
| <http://wikiba.se/ontology#Dump> | <http://schema.org/dateModified>        | "2021-09-24T23:00:12Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> |
| <http://wikiba.se/ontology#Dump> | <http://schema.org/dateModified>        | "2021-09-24T23:00:17Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> |
| <http://wikiba.se/ontology#Dump> | <http://schema.org/dateModified>        | "2021-09-24T23:00:21Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> |
| <http://wikiba.se/ontology#Dump> | <http://schema.org/dateModified>        | "2021-09-24T23:00:26Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> |
| <http://wikiba.se/ontology#Dump> | <http://schema.org/dateModified>        | "2021-09-24T23:00:29Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> |
| <http://wikiba.se/ontology#Dump> | <http://schema.org/dateModified>        | "2021-09-24T23:00:34Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> |
| <http://wikiba.se/ontology#Dump> | <http://schema.org/dateModified>        | "2021-09-24T23:00:38Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> |
| <http://wikiba.se/ontology#Dump> | <http://schema.org/dateModified>        | "2021-09-24T23:00:43Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> |
| <http://wikiba.se/ontology#Dump> | <http://schema.org/dateModified>        | "2021-09-24T23:00:48Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> |
| <http://wikiba.se/ontology#Dump> | <http://schema.org/dateModified>        | "2021-09-24T23:00:53Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> |
| <http://wikiba.se/ontology#Dump> | <http://schema.org/dateModified>        | "2021-09-24T23:01:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> |
| <http://wikiba.se/ontology#Dump> | <http://schema.org/dateModified>        | "2021-09-24T23:01:06Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> |
| <http://wikiba.se/ontology#Dump> | <http://schema.org/dateModified>        | "2021-09-24T23:01:13Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> |
| <http://wikiba.se/ontology#Dump> | <http://schema.org/dateModified>        | "2021-09-24T23:01:21Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> |
| <http://wikiba.se/ontology#Dump> | <http://schema.org/dateModified>        | "2021-09-24T23:01:28Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> |
| <http://wikiba.se/ontology#Dump> | <http://schema.org/dateModified>        | "2021-09-24T23:01:35Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> |
| <http://wikiba.se/ontology#Dump> | <http://schema.org/dateModified>        | "2021-09-24T23:01:41Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> |
| <http://wikiba.se/ontology#Dump> | <http://schema.org/dateModified>        | "2021-09-24T23:01:48Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> |
| <http://wikiba.se/ontology#Dump> | <http://schema.org/dateModified>        | "2021-09-24T23:01:53Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> |
| <http://wikiba.se/ontology#Dump> | <http://schema.org/dateModified>        | "2021-09-24T23:01:58Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> |
| <http://wikiba.se/ontology#Dump> | <http://schema.org/dateModified>        | "2021-09-24T23:02:04Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> |
| <http://wikiba.se/ontology#Dump> | <http://schema.org/dateModified>        | "2021-09-24T23:02:09Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> |
| <http://wikiba.se/ontology#Dump> | <http://schema.org/dateModified>        | "2021-09-24T23:02:14Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> |
| <http://wikiba.se/ontology#Dump> | <http://schema.org/dateModified>        | "2021-09-24T23:02:19Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> |
| <http://wikiba.se/ontology#Dump> | <http://schema.org/dateModified>        | "2021-09-24T23:02:25Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> |
| <http://wikiba.se/ontology#Dump> | <http://schema.org/dateModified>        | "2021-09-24T23:02:32Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> |
| <http://wikiba.se/ontology#Dump> | <http://schema.org/dateModified>        | "2021-09-24T23:02:38Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> |
| <http://wikiba.se/ontology#Dump> | <http://schema.org/dateModified>        | "2021-09-24T23:02:45Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> |
| <http://wikiba.se/ontology#Dump> | <http://schema.org/dateModified>        | "2021-09-24T23:02:51Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> |
| <http://wikiba.se/ontology#Dump> | <http://schema.org/dateModified>        | "2021-09-24T23:02:57Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> |
| <http://wikiba.se/ontology#Dump> | <http://schema.org/dateModified>        | "2021-09-24T23:03:03Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> |
| <http://wikiba.se/ontology#Dump> | <http://schema.org/dateModified>        | "2021-09-24T23:03:10Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> |
| <http://wikiba.se/ontology#Dump> | <http://schema.org/dateModified>        | "2021-09-24T23:03:24Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> |
| <http://wikiba.se/ontology#Dump> | <http://schema.org/dateModified>        | "2021-09-24T23:03:25Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> |
| <http://wikiba.se/ontology#Dump> | <http://schema.org/dateModified>        | "2021-09-24T23:04:01Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> |
| <http://wikiba.se/ontology#Dump> | <http://schema.org/dateModified>        | "2021-09-24T23:04:02Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> |
| <http://wikiba.se/ontology#Dump> | <http://schema.org/dateModified>        | "2021-09-24T23:04:03Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> |
| <http://wikiba.se/ontology#Dump> | <http://schema.org/dateModified>        | "2021-09-24T23:04:05Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> |
| <http://wikiba.se/ontology#Dump> | <http://schema.org/dateModified>        | "2021-09-24T23:04:16Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> |
| <http://wikiba.se/ontology#Dump> | <http://schema.org/dateModified>        | "2021-09-24T23:04:17Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> |
| <http://wikiba.se/ontology#Dump> | <http://schema.org/dateModified>        | "2021-09-24T23:04:20Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> |
| <http://wikiba.se/ontology#Dump> | <http://schema.org/dateModified>        | "2021-09-24T23:04:25Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> |
| <http://wikiba.se/ontology#Dump> | <http://schema.org/dateModified>        | "2021-09-24T23:04:26Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> |
